q_type,attribute,category,question,polarity,gt,choice_1,choice_2,choice_3,choice_4
boolean,Surface Hardness,dishtowel,dishtowel is more hard on the surface than sweet_potato.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,dishtowel,sweet_potato is more hard on the surface than dishtowel.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,dishtowel,sweet_potato is less hard on the surface than dishtowel.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,dishtowel,dishtowel is less hard on the surface than sweet_potato.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,baseball_glove is more hard on the surface than gift_wrap.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,gift_wrap is more hard on the surface than baseball_glove.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,gift_wrap is less hard on the surface than baseball_glove.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,baseball_glove is less hard on the surface than gift_wrap.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,apron,apron is more hard on the surface than spectacles.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,apron,spectacles is more hard on the surface than apron.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,apron,spectacles is less hard on the surface than apron.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,apron,apron is less hard on the surface than spectacles.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,fork,fork is more hard on the surface than crouton.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,fork,crouton is more hard on the surface than fork.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,fork,crouton is less hard on the surface than fork.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,fork,fork is less hard on the surface than crouton.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,can,can is more hard on the surface than plant.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,can,plant is more hard on the surface than can.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,can,plant is less hard on the surface than can.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,can,can is less hard on the surface than plant.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,button,button is more hard on the surface than tortilla.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,button,tortilla is more hard on the surface than button.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,button,tortilla is less hard on the surface than button.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,button,button is less hard on the surface than tortilla.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,bunk_bed is more hard on the surface than sunflower.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,sunflower is more hard on the surface than bunk_bed.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,sunflower is less hard on the surface than bunk_bed.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,bunk_bed is less hard on the surface than sunflower.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,bell,bell is more hard on the surface than banana.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,bell,banana is more hard on the surface than bell.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,bell,banana is less hard on the surface than bell.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,bell,bell is less hard on the surface than banana.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,fork,fork is more hard on the surface than snack_food.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,fork,snack_food is more hard on the surface than fork.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,fork,snack_food is less hard on the surface than fork.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,fork,fork is less hard on the surface than snack_food.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,baseball_glove is more hard on the surface than chocolate_bar.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,chocolate_bar is more hard on the surface than baseball_glove.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,chocolate_bar is less hard on the surface than baseball_glove.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_glove,baseball_glove is less hard on the surface than chocolate_bar.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,faucet,faucet is more hard on the surface than cigarette.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,faucet,cigarette is more hard on the surface than faucet.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,faucet,cigarette is less hard on the surface than faucet.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,faucet,faucet is less hard on the surface than cigarette.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,fork,fork is more hard on the surface than cookie.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,fork,cookie is more hard on the surface than fork.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,fork,cookie is less hard on the surface than fork.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,fork,fork is less hard on the surface than cookie.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,milk,milk is more hard on the surface than burrito.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,milk,burrito is more hard on the surface than milk.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,milk,burrito is less hard on the surface than milk.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,milk,milk is less hard on the surface than burrito.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,cooking_utensil is more hard on the surface than egg_yolk.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,egg_yolk is more hard on the surface than cooking_utensil.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,egg_yolk is less hard on the surface than cooking_utensil.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,cooking_utensil,cooking_utensil is less hard on the surface than egg_yolk.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,baseball_bat is more hard on the surface than waffle.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,waffle is more hard on the surface than baseball_bat.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,waffle is less hard on the surface than baseball_bat.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,baseball_bat is less hard on the surface than waffle.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,coverall,coverall is more hard on the surface than persimmon.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,coverall,persimmon is more hard on the surface than coverall.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,coverall,persimmon is less hard on the surface than coverall.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,coverall,coverall is less hard on the surface than persimmon.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,skewer,skewer is more hard on the surface than sweet_potato.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,skewer,sweet_potato is more hard on the surface than skewer.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,skewer,sweet_potato is less hard on the surface than skewer.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,skewer,skewer is less hard on the surface than sweet_potato.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,apron,apron is more hard on the surface than fruit.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,apron,fruit is more hard on the surface than apron.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,apron,fruit is less hard on the surface than apron.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,apron,apron is less hard on the surface than fruit.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,apron,apron is more hard on the surface than cucumber.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,apron,cucumber is more hard on the surface than apron.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,apron,cucumber is less hard on the surface than apron.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,apron,apron is less hard on the surface than cucumber.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,baseball_bat is more hard on the surface than lasagna.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,lasagna is more hard on the surface than baseball_bat.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,lasagna is less hard on the surface than baseball_bat.,neg,True,True,False,N/A,N/A
boolean,Surface Hardness,baseball_bat,baseball_bat is less hard on the surface than lasagna.,neg,False,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,bunk_bed is more hard on the surface than banana.,pos,True,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,banana is more hard on the surface than bunk_bed.,pos,False,True,False,N/A,N/A
boolean,Surface Hardness,bunk_bed,banana is less hard on the surface than bunk_bed.,neg,True,True,False,N/A,N/A
